city_id,city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness,country
73,petropavlovsk-kamchatskiy,53.0199838,158.6471356,Snow,15.91,95,999,5.3,100,RU
74,grindavik,63.844239,-22.4317498,Snow,30.52,93,992,19.57,75,IS
75,fairbanks,64.837845,-147.716675,Clouds,13.77,84,976,0.0,20,US
76,kirensk,57.776356,108.116295,Clouds,-35.99,100,1049,2.28,50,RU
77,kapaa,22.0747334,-159.3191601,Clouds,79.48,66,1018,3.0,30,US
78,camacupa,-12.0203585,17.4763605,Rain,60.93,97,1013,1.66,100,AO
79,barrow,71.2905556,-156.788611,Clouds,6.82,78,1002,11.5,100,US
80,bandarbeyla,9.4952646,50.8127815,Rain,77.09,77,1016,18.75,73,SO
81,ancud,-41.8682162,-73.8287225,Clouds,56.48,69,1022,10.69,59,CL
82,tasiilaq,65.6152573,-37.6378149,Clear,-11.47,48,990,7.23,0,GL
83,te anau,-45.41449,167.717489,Clouds,69.6,57,1022,1.28,51,NZ
84,nikolskoye,59.7034799,30.7861084,Clear,28.29,80,1006,12.21,6,RU
85,rocha,-34.4810095,-54.3365608,Clouds,77.92,52,1005,16.06,100,UY
86,tevriz,57.513668,72.398911,Clouds,-10.98,98,1030,3.36,100,RU
87,kamenskoye,53.1793307,37.7767378,Clouds,39.85,98,1010,20.22,100,RU
88,komsomolskiy,43.98266,46.6950001,Clouds,44.44,67,1029,8.32,98,RU
89,illoqqortoormiut,70.4850588,-21.9641992,Clouds,12.27,67,989,8.79,100,GL
90,sitka,57.0524973,-135.337612,Rain,44.42,70,989,27.63,100,US
91,leningradskiy,54.129108,79.236702,Clouds,-6.59,99,1034,6.67,73,RU
92,birjand,32.8633961,59.2177294,Clear,28.76,50,1028,4.61,0,IR
93,tura,47.3900474,0.6889268,Clouds,58.28,75,1013,11.5,100,FR
94,laguna,-28.4837443,-48.7816572,Clear,75.09,90,1012,17.56,8,BR
95,port-de-bouc,43.403098,4.9806998,Clear,55.44,78,1027,9.22,0,FR
96,geraldton,-28.77035,114.6147159,Clear,62.76,82,1008,11.5,0,AU
97,iaciara,-14.1014906,-46.6343388,Clouds,73.51,81,1011,1.92,66,BR
98,kaitangata,-46.2817388,169.8464139,Clear,66.11,62,1023,6.93,5,NZ
99,dourbali,8.3410605,17.789992,Clear,73.44,29,1011,5.91,4,TD
100,marsa matruh,31.3528567,27.2395262,Clear,61.48,65,1024,14.2,8,EG
101,klaksvik,62.2266084,-6.5852705,Clouds,31.24,55,1002,16.4,37,FO
102,matamoros,25.8520977,-97.5017951,Clear,78.48,77,1010,18.21,0,MX
103,kabanjahe,3.1009104,98.4891218,Clouds,60.57,98,1015,0.94,100,ID
104,dobrin,45.1302256,14.6036055,Clouds,51.85,87,1030,2.3,100,HR
105,ariquemes,-9.9076522,-63.033069,Clouds,73.87,97,1009,3.76,82,BR
106,khasan,42.4307675,130.6434123,Clear,16.14,47,1029,18.66,1,KP
107,saldanha,-32.9977778,17.9455556,Clear,70.07,82,1007,9.86,0,ZA
108,vaini,-21.1925671,-175.1772797,Rain,84.49,79,1009,5.75,40,TO
109,opuwo,-18.0550384,13.8387366,Rain,72.25,66,1011,2.42,95,NA
110,ortigueira,43.6843141,-7.8543679,Clouds,49.57,83,1019,16.96,97,ES
111,new norfolk,-42.7801998,147.0615332,Clouds,74.75,51,1004,1.21,64,AU
112,mabaruma,8.2037266,-59.784924,Clouds,72.07,98,1012,2.39,100,GY
113,carnarvon,-24.8826131,113.6576486,Clear,75.09,66,1004,23.87,0,AU
114,sobolevo,55.5204405,38.7062515,Rain,42.75,100,1000,11.52,100,RU
115,diu,20.7137783,70.9853635,Clear,65.28,40,1016,8.93,4,IN
116,mataura,-46.192734,168.8642685,Clouds,73.42,46,1023,1.95,11,NZ
117,abu dhabi,24.4538352,54.3774014,Clear,69.42,74,1021,3.44,0,AE
118,maniitsoq,65.4175454,-52.8967885,Clouds,3.45,72,1003,10.94,24,GL
119,langangen,59.0884715,9.8037016,Snow,27.0,84,1010,10.16,99,NO
120,avarua,-21.2074736,-159.7708145,Clouds,84.18,84,1010,8.05,75,CK
121,galgani,12.4486,34.2186,Clear,77.49,28,1012,11.95,6,SD
122,afmadu,0.5148092,42.0730434,Clouds,74.34,92,1012,6.31,14,SO
123,roma,41.8933203,12.4829321,Clouds,55.35,77,1029,1.14,40,IT
124,minab,27.1505605,57.0752814,Clouds,68.38,21,1022,5.75,86,IR
125,kapit,2.0139027,112.9356766,Clouds,71.65,99,1012,0.83,100,MY
126,kaeo,-35.1017438,173.7751075,Clouds,68.45,80,1018,17.45,100,NZ
127,acapulco,16.8680495,-99.8940182,Clouds,81.88,62,1012,8.63,75,MX
128,pangoa,-12.3618524,-72.8875826,Clouds,74.14,95,1010,2.24,100,PE
129,katsuura,35.1521846,140.3207449,Clear,44.8,60,1020,11.56,2,JP
130,waspan,13.487052,-85.0632763,Clouds,75.02,88,1014,1.48,29,NI
131,malwan,24.2274552,73.35321000182395,Clouds,52.74,39,1018,5.23,37,IN
132,anadyr,64.7316875,177.5060925,Clouds,-31.92,99,1009,8.93,74,RU
133,port alfred,-33.5981844,26.8914772,Clear,64.06,91,1014,1.99,5,ZA
134,santa eulalia del rio,38.9847076,1.5343593,Clouds,55.31,94,1024,2.3,40,ES
135,hasaki,35.7529706,140.8201321,Clouds,30.6,50,1020,15.12,11,JP
136,chastyye,57.2918228,54.9718414,Clouds,26.92,92,1004,16.73,100,RU
137,adrar,27.8733807,-0.2874884,Clear,57.42,35,1023,8.05,0,DZ
138,saint george,12.0535331,-61.751805,Clouds,76.08,88,1012,8.05,75,GD
139,bluff,-46.59882,168.3433685,Clouds,61.25,70,1024,3.4,24,NZ
140,thompson,55.743347,-97.863464,Clouds,3.38,85,1012,4.61,75,CA
141,alanya,36.5436517,32.0019211,Clear,57.33,32,1028,6.04,3,TR
142,salalah,17.0174945,54.1010923,Clouds,71.55,43,1019,7.94,44,OM
143,jiaonan,35.9574858,120.1892358,Clouds,19.33,61,1037,4.21,100,CN
144,iki-burul,45.822998,44.647003,Clouds,47.88,73,1025,24.43,100,RU
145,souillac,44.8980172,1.46943,Clouds,55.51,65,1018,12.33,67,FR
146,kloulklubed,7.0415131,134.2564595,Clouds,80.62,82,1009,15.01,100,PW
147,nizhnyaya poyma,56.163059,97.20192,Clouds,-0.92,89,1039,2.64,100,RU
148,asau,46.4388969,26.4008405,Clouds,36.48,77,1029,6.73,100,RO
149,lebu,-37.6099644,-73.6559477,Clear,59.0,76,1022,14.79,6,CL
150,hofn,64.2532647,-15.2080441,Clouds,23.14,57,1001,7.9,43,IS
151,yellowknife,62.4540807,-114.377385,Clouds,-13.32,100,1010,4.65,43,CA
152,mar del plata,-37.9977225,-57.5482703,Rain,67.28,94,1008,20.0,100,AR
153,vestmannaeyjar,63.42704985,-20.269317184750797,Clouds,36.21,60,997,20.56,100,IS
154,olafsvik,64.8959304,-23.7084345,Snow,34.57,74,991,22.35,100,IS
155,coxim,-18.504915,-54.7450251,Clouds,82.9,60,1008,3.87,92,BR
156,fevralsk,52.45705,130.852829,Clouds,-38.25,100,1024,2.98,49,RU
157,comodoro rivadavia,-45.8632024,-67.4752615,Clouds,66.87,34,1004,35.61,61,AR
158,halberstadt,51.8953514,11.0520563,Rain,56.61,77,1015,11.01,100,DE
159,nanortalik,60.1400246,-45.2428523,Clear,10.9,66,994,14.29,9,GL
160,namibe,-15.195064,12.1458085,Clouds,74.61,70,1011,9.13,99,AO
161,menongue,-14.6610713,17.6820336,Clouds,62.51,97,1012,3.53,95,AO
162,dunedin,-45.8740984,170.5035755,Clear,59.81,95,1014,13.89,5,NZ
163,korla,41.7238743,86.173541,Clear,18.43,62,1039,2.13,1,CN
164,qaqortoq,60.718202,-46.0385214,Clear,-5.94,67,994,6.55,5,GL
165,barawe,1.4923441,44.1066308,Clear,75.36,85,1012,11.12,6,SO
166,japura,-23.469273,-52.55572,Clouds,76.89,68,1009,3.18,47,BR
167,poum,-20.2316547,164.029894,Clouds,78.44,72,1005,10.49,75,NC
168,mount isa,-20.7289898,139.4931522,Clouds,76.86,94,1006,11.5,100,AU
169,atar,20.5181943,-13.0543928,Clear,72.59,20,1018,8.57,0,MR
170,berdigestyakh,62.098289,126.699837,Clouds,-16.78,100,1020,2.19,100,RU
171,longyearbyen,78.2231558,15.6463656,Snow,30.47,80,1000,27.63,40,SJ
172,labutta,16.3527339,95.25289907403995,Clouds,65.41,46,1015,6.38,75,MM
173,tuatapere,-46.1323096,167.6907627,Clouds,67.68,58,1023,4.05,40,NZ
174,chuy,-33.6937948,-53.4561114,Clouds,72.93,87,1007,17.38,96,BR
175,hilo,19.7073734,-155.08158,Clouds,76.98,85,1018,8.01,95,US
176,goma,-1.6665685,29.225652,Clouds,61.3,82,1015,3.53,60,CD
177,esperance,-33.858228,121.8931606,Clear,63.18,61,1018,12.44,5,AU
178,vaitupu,-7.4769458,178.6807836433052,Clouds,82.22,67,1010,12.93,47,TV
179,lincoln,40.8088861,-96.7077751,Clouds,43.52,57,1013,9.22,40,US
180,ulladulla,-35.3621503,150.4751713,Clear,74.03,63,1012,10.04,7,AU
181,los llanos de aridane,28.6592222,-17.9151945,Clear,62.13,80,1023,8.01,0,ES
182,saint-augustin,48.7858921,3.0292059,Clouds,58.19,75,1014,10.98,100,FR
183,sao filipe,14.8952963,-24.4969361,Clouds,74.44,76,1016,6.24,100,CV
184,grand river south east,-20.2907247,57.7851931,Clouds,72.1,88,1015,4.61,20,MU
185,gat,45.7023377,18.3246957,Clouds,50.54,85,1028,3.42,29,HR
186,haines junction,60.7527212,-137.5100384,Clouds,18.16,98,992,3.67,100,CA
187,chilca,-12.5185727,-76.7381488,Clouds,70.79,81,1015,7.54,87,PE
188,atuona,-9.8037347,-139.0425737,Rain,78.73,79,1013,17.4,14,PF
189,arraial do cabo,-22.9662839,-42.024427,Clear,74.7,90,1014,23.51,5,BR
190,bambous virieux,-20.347199500000002,57.76474767388835,Clouds,72.16,88,1015,4.61,20,MU
